city,price_USD,name,engine_size,URL,colour,kilometrage,drive,body_type,year,region,price_UAH,model,gearbox,fuel_type,make
,13500,DODGE Ram,5.2,http://rst.ua/oldcars/dodge/ram/dodge_ram_5068057.html,,70000,4WD,,2001,,314200,,Automatic,Petrol,
,2000,HONDA Prelude,2.0,http://rst.ua/oldcars/honda/prelude/honda_prelude_5125946.html,,111111,4WD,,1985,,46600,,Manual,Petrol,
,800,ЗАЗ Таврия,1.2,http://rst.ua/oldcars/zaz/tavria/zaz_tavria_4895832.html,,150000,4WD,,1995,,18700,,Manual,Petrol,
,4500,VOLKSWAGEN Passat,2.8,http://rst.ua/oldcars/volkswagen/passat/volkswagen_passat_5040020.html,,430000,4WD,,1994,,104800,,Manual,LPG/Petrol,
,3800,AUDI 80,1.8,http://rst.ua/oldcars/audi/80/audi_80_5070525.html,,1000,4WD,,1989,,88500,,Automatic,LPG/Petrol,
,11000,FORD Connect,1.8,http://rst.ua/oldcars/ford/connect/ford_connect_3896065.html,,190000,4WD,,2006,,256000,,Manual,Diesel,
,3500,RENAULT 21,1.7,http://rst.ua/oldcars/renault/21/renault_21_5111790.html,,211000,4WD,,1986,,81500,,Manual,LPG/Petrol,
,2800,ВАЗ 2109,1.5,http://rst.ua/oldcars/vaz/2109/vaz_2109_4967785.html,,207000,4WD,,1999,,65200,,Manual,Petrol,
,3400,VOLKSWAGEN Passat,1.6,http://rst.ua/oldcars/volkswagen/passat/volkswagen_passat_5129966.html,,270000,4WD,,1988,,79200,,Manual,LPG/Petrol,
,10000,MITSUBISHI Grandis,2.4,http://rst.ua/oldcars/mitsubishi/grandis/mitsubishi_grandis_4592763.html,,130000,4WD,,2004,,232700,,Manual,LPG/Petrol,
,4500,PEUGEOT Boxer,2.5,http://rst.ua/oldcars/peugeot/boxer/peugeot_boxer_5067009.html,,11111,4WD,,2000,,104800,,Manual,Diesel,
,5000,VOLKSWAGEN Passat,2.8,http://rst.ua/oldcars/volkswagen/passat/volkswagen_passat_5088026.html,,111000,4WD,,1992,,116400,,Manual,LPG/Petrol,
,12500,VOLKSWAGEN Transporter,1.9,http://rst.ua/oldcars/volkswagen/transporter/volkswagen_transporter_4992520.html,,215000,4WD,,2005,,290900,,Manual,Diesel,
,8500,CITROEN C4,1.6,http://rst.ua/oldcars/citroen/c4/citroen_c4_3593489.html,,180000,4WD,,2005,,197800,,Automatic,Petrol,
,28900,TOYOTA RAV4,2.0,http://rst.ua/oldcars/toyota/rav4/toyota_rav4_4224001.html,,12000,4WD,,2013,,672500,,Automatic,Petrol,
,23500,TOYOTA RAV4,2.4,http://rst.ua/oldcars/toyota/rav4/toyota_rav4_4732665.html,,125000,4WD,,2011,,546800,,Automatic,Petrol,
,8950,TOYOTA RAV4,2.0,http://rst.ua/oldcars/toyota/rav4/toyota_rav4_4759250.html,,25000,4WD,,2002,,208300,,Automatic,Petrol,
,17500,MAZDA 6,2.0,http://rst.ua/oldcars/mazda/6/mazda_6_5122672.html,,50000,4WD,,2011,,407200,,Automatic,Petrol,
,15800,VOLKSWAGEN Transporter,2.5,http://rst.ua/oldcars/volkswagen/transporter/volkswagen_transporter_5118916.html,,210000,4WD,,2009,,367700,,Manual,Diesel,
,5800,BMW 5-series,2.0,http://rst.ua/oldcars/bmw/5-series/bmw_5-series_5124813.html,,350000,4WD,,1996,,135000,,Manual,Petrol,
,3000,ГАЗ Газель,2.9,http://rst.ua/oldcars/gaz/gazel/gaz_gazel_5111659.html,,200000,4WD,,2000,,69900,,Manual,LPG/Petrol,
,2600,OPEL Vectra,1.6,http://rst.ua/oldcars/opel/vectra/opel_vectra_5060311.html,,270000,4WD,,1990,,60500,,Manual,Petrol,
,26999,MERCEDES Vito,3.0,http://rst.ua/oldcars/mercedes/vito/mercedes_vito_3640895.html,,120000,4WD,,2012,,628200,,Automatic,Diesel,
,9100,TOYOTA RAV4,2.0,http://rst.ua/oldcars/toyota/rav4/toyota_rav4_4147285.html,,303000,4WD,,1999,,211800,,Automatic,Petrol,
,8500,SUZUKI Grand Vitara,2.0,http://rst.ua/oldcars/suzuki/grandvitara/suzuki_grandvitara_5118266.html,,188500,4WD,,2002,,197800,,Manual,Petrol,
,8500,OPEL Vivaro,1.9,http://rst.ua/oldcars/opel/vivaro/opel_vivaro_3596774.html,,187000,4WD,,2004,,197800,,Manual,Diesel,
